 test_hourly | test_mileage | test_efficiency | would_accept | total_offers | accept_pct | total_revenue | avg_hourly | avg_dpm | total_progress | avg_progress_per_ride |     mode_analyzed     | market_analyzed | time_period_analyzed 
-------------+--------------+-----------------+--------------+--------------+------------+---------------+------------+---------+----------------+-----------------------+-----------------------+-----------------+----------------------
          13 |          0.5 |                 |           40 |           47 |       85.1 |        237.77 |      19.56 |    0.92 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          14 |          0.5 |                 |           37 |           47 |       78.7 |        225.85 |      20.05 |    0.93 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          15 |          0.5 |                 |           36 |           47 |       76.6 |        222.11 |      20.19 |    0.93 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          13 |          0.7 |                 |           35 |           47 |       74.5 |        197.82 |      19.54 |    0.97 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          14 |          0.6 |                 |           33 |           47 |       70.2 |        190.75 |      20.07 |    0.98 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          15 |          0.6 |                 |           32 |           47 |       68.1 |        187.01 |      20.23 |    0.99 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          16 |          0.5 |                 |           31 |           47 |       66.0 |        194.55 |      20.98 |    0.94 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          17 |          0.5 |                 |           30 |           47 |       63.8 |        187.79 |      21.13 |    0.95 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          17 |          0.6 |                 |           27 |           47 |       57.4 |        159.45 |      21.14 |    1.00 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          17 |          0.7 |                 |           26 |           47 |       55.3 |        154.60 |      21.21 |    1.01 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          18 |          0.5 |                 |           25 |           47 |       53.2 |        159.83 |      21.87 |    0.97 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          19 |          0.5 |                 |           23 |           47 |       48.9 |        150.11 |      22.19 |    0.96 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          18 |          0.7 |                 |           22 |           47 |       46.8 |        133.29 |      21.89 |    1.02 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          19 |          0.6 |                 |           21 |           47 |       44.7 |        128.42 |      22.11 |    1.00 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          19 |          0.7 |                 |           20 |           47 |       42.6 |        123.57 |      22.26 |    1.02 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
          15 |          0.9 |                 |           19 |           47 |       40.4 |         99.99 |      20.36 |    1.13 |                |                       | PUDDLE_JUMP+FREESTYLE | Money           | ALL
