X,Y,OBJECTID,SignalID,Locaction_Name,Type_,Status,Turn_on_Date,Precinct,Latitude,Longitude,Billing_Addr,Shape
3108756.17243186,13893275.0804173,1,TCS-0001,Airline Dr @ Aldine Mail Route Rd,Traffic Control Signal,Active,2017/05/17 00:00:00+00,2,29.902573,-95.400551,10032« Airline Drive,
3113510.39586303,13883591.9800329,2,TCS-0002,Airline Dr @ Canino Rd,Traffic Control Signal,Active,1976/12/09 00:00:00+00,2,29.875555,-95.386497,7841« Airline Drive,
3110700.9848152,13888574.0166568,3,TCS-0003,Airline Dr @ Gulf Bank Rd,Traffic Control Signal,Active,1976/12/02 00:00:00+00,2,29.889487,-95.394873,8925 Airline Drive,
3109641.14310285,13890735.5638428,4,TCS-0004,Airline Dr @ Hill Rd,Traffic Control Signal,Active,1979/07/27 00:00:00+00,2,29.895518,-95.398006,9504« Airline Drive,
3111970.29395635,13886306.5444857,5,TCS-0005,Airline Dr @ Mitchell Rd,Traffic Control Signal,Active,1982/10/27 00:00:00+00,2,29.883147,-95.39109,8435 Airline Drive,
3111207.88734469,13887649.8977701,6,TCS-0006,Airline Dr @ North Pedestrian Crossing,Traffic Control Signal,Active,2006/04/06 00:00:00+00,2,29.886904,-95.393364,8803« Airline Drive,
3111345.74402437,13887394.7453933,7,TCS-0007,Airline Dr @ South Pedestrian Crossing,Traffic Control Signal,Active,2015/07/03 00:00:00+00,2,29.886191,-95.392954,8707« Airline Drive,
3109471.63852061,13891205.8585059,8,TCS-0008,Airline Dr @ West Mount Houston Rd,Traffic Control Signal,Active,1978/10/10 00:00:00+00,2,29.896825,-95.398495,9601« Airline Drive,
3120489.73623502,13893554.1395705,9,TCS-0009,Aldine Mail Route Rd @ Chrisman Rd,Traffic Control Signal,Active,1977/09/07 00:00:00+00,2,29.902342,-95.363508,1431 Aldine Mail Route Road,
3126637.10550195,13893768.7802173,10,TCS-0010,Aldine Mail Route Rd @ Deergrove St,Traffic Control Signal,Active,2019/02/28 00:00:00+00,2,29.902405,-95.344094,2626« Aldine Mail Route Road,
3129081.18001011,13893878.0326235,11,TCS-0011,Aldine Mail Route Rd @ Fern Meadow Ln,Traffic Control Signal,Active,1976/11/30 00:00:00+00,2,29.902495,-95.336373,3700 Aldine Mail Route Road,
3130711.32537186,13893943.3408919,12,TCS-0012,Aldine Mail Route Rd @ Gloger St,Traffic Control Signal,Active,1976/12/07 00:00:00+00,2,29.902534,-95.331224,4235 Aldine Mail Route Road,
3117431.70298102,13893402.02767,13,TCS-0013,Aldine Mail Route Rd @ Hardy Tollroad,Traffic Control Signal,Active,2013/08/23 00:00:00+00,2,29.902185,-95.37317,1030« Aldine Mail Route Road,
3114424.57841787,13893294.6751944,14,TCS-0014,Aldine Mail Route Rd @ Henry Rd,Traffic Control Signal,Active,2018/03/09 00:00:00+00,2,29.902146,-95.382667,759« Aldine Mail Route Road,
3130281.35543127,13893917.1165349,15,TCS-0015,Aldine Mail Route Rd @ John F Kennedy Blvd,Traffic Control Signal,Active,1977/11/09 00:00:00+00,2,29.902499,-95.332583,4104 Aldine Mail Route Road,
