 offer_id |                      pickup_address                       |                  dropoff_address                   |        pickup_time         |        dropoff_time        | dropoff_error_m | dropoff_classification | confidence | verdict | hex_hourly | radar_hourly | delta  | radar_confidence |  pin_vs_actual_m   
----------+-----------------------------------------------------------+----------------------------------------------------+----------------------------+----------------------------+-----------------+------------------------+------------+---------+------------+--------------+--------+------------------+--------------------
     5739 | Atwell Dr & Stillbrooke Dr, Houston, Texas                | Bertner Ave & Saint Agnes St, Houston, Texas       | 2026-04-15 19:44:11.643659 | 2026-04-15 20:01:41.835349 |    136.65351083 | watchdog_a             | high       | ACCEPT  | 25.09      | 18.09        | -7.0   | low              |       136.65351083
     5740 | Frederick C Elliot Ave & Holcombe Blvd, Houston, Texas    | Pepperdine Ln & Teal Run Dr, Houston, Texas        |                            |                            |                 |                        | low        | DECLINE | 9.65       | 17.37        | 7.72   | low              |                   
     5741 | Almeda Rd & Hermann Park Ct, Houston, Texas               | Bellows Ln & Bertner St, Houston, Texas            |                            |                            |                 |                        | high       | DECLINE | 15.23      | 14.69        | -0.54  | low              |                   
     5742 | Cambridge St & Fannin St, Houston, Texas                  | Meadowglen Ln & Wallingford Dr, Houston, Texas     |                            |                            |                 |                        | low        | DECLINE | 8.48       | 17.39        | 8.91   | low              |                   
     5743 | Kirby Dr, Houston, Texas                                  | Edloe Driveway & Greenway Plz, Houston, Texas      | 2026-04-15 20:08:41.296774 | 2026-04-15 20:23:07.985467 |           223.2 | bullseye               | low        | ACCEPT  | 18.65      | 18.21        | -0.44  | low              |       223.20681333
     5744 | Bissonnet St, Houston, Texas                              | Oakdale Dr & W Loop South Fwy, Bellaire, Texas     |                            |                            |                 |                        | low        | DECLINE | 10.09      | 18.48        | 8.39   | low              |                   
     5745 | Belmont St & Bissonnet St, Houston, Texas                 | California St & Ridgewood St, Houston, Texas       | 2026-04-15 15:27:33.962957 | 2026-04-15 20:38:55.678306 |    137.47335028 | watchdog_a             | high       | ACCEPT  | 18.64      | 14.52        | -4.12  | low              | 436.69492227000006
     5746 | Pin Oak Park & W Loop South Fwy, Houston, Texas           | Maple Village Dr & Rocky Bridge Ln, Cypress, Texas |                            |                            |                 |                        | high       | DECLINE | 0.11       |              |        | none             |                   
     5747 | Bonnie Brae St & Mandell St, Houston, Texas               | Brun St& Westheimer Rd, Houston, Texas             | 2026-04-15 15:43:46.553858 | 2026-04-15 20:50:36.613483 |    351.73613104 | watchdog_b             | high       | ACCEPT  | 22.0       | 15.49        | -6.51  | low              |       466.68540514
     5748 | Colquitt St & S Shepherd Dr, Houston, Texas               | John F Kennedy Blvd, Houston, Texas                |                            |                            |                 |                        | high       | DECLINE | 5.91       | 23.03        | 17.12  | low              |                   
     5749 | The Westheimer Apartments, Leasing Office in, Texas       | San Felipe St, Houston, Texas                      |                            |                            |                 |                        | low        | DECLINE | 0.0        |              |        |                  |                   
     5750 | Boston St & Genesee St, Houston, Texas                    | Fannin St & Pease St, Houston EG, Texas            | 2026-04-15 16:30:23.442812 | 2026-04-15 21:37:29.388792 |           471.4 | on_target              | high       | ACCEPT  | 43.87      | 17.38        | -26.49 | low              |       471.36913963
